season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2014/15,7,Hapoel Haifa,Bnei Sakhnin,0:3,3,13,14,Bottom,Bottom,Bottom vs Bottom
2014/15,10,H. Beer Sheva,Maccabi Netanya,4:0,4,2,7,Top,Middle,Middle vs Top
2014/15,10,M. Tel Aviv,Hapoel Haifa,3:0,3,3,13,Top,Bottom,Bottom vs Top
2014/15,11,Maccabi Netanya,Maccabi Haifa,0:4,4,10,6,Middle,Middle,Middle vs Middle
2014/15,12,H. Beer Sheva,Hapoel Haifa,4:0,4,3,12,Top,Bottom,Bottom vs Top
2014/15,13,Hapoel Haifa,Maccabi Haifa,0:4,4,14,7,Bottom,Middle,Bottom vs Middle
2014/15,14,M. Tel Aviv,M. Petah Tikva,3:0,3,2,4,Top,Top,Top vs Top
2014/15,14,B. Jerusalem,H. Beer Sheva,0:3,3,7,3,Middle,Top,Middle vs Top
2014/15,16,B. Jerusalem,Hapoel Acre,4:0,4,5,14,Middle,Bottom,Bottom vs Middle
2014/15,17,M. Petah Tikva,Kiryat Shmona,3:0,3,7,1,Middle,Top,Middle vs Top
2014/15,18,M. Tel Aviv,Hapoel Acre,3:0,3,2,14,Top,Bottom,Bottom vs Top
2014/15,20,H. Beer Sheva,Hapoel Acre,3:0,3,3,14,Top,Bottom,Bottom vs Top
2014/15,22,Maccabi Haifa,FC Ashdod,5:0,5,10,8,Middle,Middle,Middle vs Middle
2015/16,1,Maccabi Haifa,Bnei Yehuda,0:3,3,14,1,Bottom,Top,Bottom vs Top
2015/16,2,Hapoel Haifa,M. Petah Tikva,0:3,3,4,4,Top,Top,Top vs Top
2015/16,2,Hapoel Tel Aviv,Kiryat Shmona,0:3,3,8,13,Middle,Bottom,Bottom vs Middle
2015/16,6,Hapoel Haifa,Kiryat Shmona,1:4,3,8,9,Middle,Middle,Middle vs Middle
2015/16,6,M. Tel Aviv,Hapoel Acre,5:0,5,2,3,Top,Top,Top vs Top
2015/16,6,H. Beer Sheva,M. Petah Tikva,5:2,3,7,1,Middle,Top,Middle vs Top
2015/16,7,Hapoel Tel Aviv,Bnei Sakhnin,0:4,4,6,9,Middle,Middle,Middle vs Middle
2015/16,8,Maccabi Haifa,Hapoel Acre,4:0,4,14,10,Bottom,Middle,Bottom vs Middle
