season,season_year,week_start,weekly_matches,active_weekdays
2023/24,2023,2024-03-04,8,3
2023/24,2023,2024-03-11,8,3
2024/25,2024,2024-08-19,5,2
2024/25,2024,2024-08-26,8,3
2024/25,2024,2024-09-09,6,2
2024/25,2024,2024-09-16,8,4
2024/25,2024,2024-09-23,5,2
2024/25,2024,2024-09-30,9,3
2024/25,2024,2024-10-14,6,2
2024/25,2024,2024-10-21,5,2
2024/25,2024,2024-10-28,9,3
2024/25,2024,2024-11-04,9,5
2024/25,2024,2024-11-25,6,3
2024/25,2024,2024-12-02,12,6
2024/25,2024,2024-12-09,9,3
2024/25,2024,2024-12-16,7,3
2024/25,2024,2024-12-23,1,1
2024/25,2024,2024-12-30,12,5
2024/25,2024,2025-01-06,9,3
2024/25,2024,2025-01-13,5,2
2024/25,2024,2025-01-20,8,3
2024/25,2024,2025-01-27,7,3
2024/25,2024,2025-02-03,7,3
2024/25,2024,2025-02-10,7,3
2024/25,2024,2025-02-17,7,4
2024/25,2024,2025-02-24,7,3
2024/25,2024,2025-03-03,7,3
2024/25,2024,2025-03-10,1,1
2025/26,2025,2025-08-18,5,2
2025/26,2025,2025-08-25,8,3
2025/26,2025,2025-09-08,5,2
2025/26,2025,2025-09-15,10,4
2025/26,2025,2025-09-22,6,2
2025/26,2025,2025-09-29,8,3
2025/26,2025,2025-10-13,5,1
2025/26,2025,2025-10-20,7,3
2025/26,2025,2025-10-27,7,3
2025/26,2025,2025-11-03,8,3
2025/26,2025,2025-11-24,5,1
