season,round,leader_points,num_contenders,contender_teams
2011/12,10,20,10,"M. Tel Aviv, Kiryat Shmona, Maccabi Netanya, Hapoel Tel Aviv, Hapoel Acre, Maccabi Haifa, Bnei Sakhnin, FC Ashdod, Bnei Yehuda, Ramat haSharon"
2011/12,11,20,10,"Hapoel Tel Aviv, M. Tel Aviv, Kiryat Shmona, Hapoel Acre, FC Ashdod, Maccabi Netanya, Maccabi Haifa, Bnei Yehuda, Ramat haSharon, Bnei Sakhnin"
2011/12,12,23,9,"Kiryat Shmona, Hapoel Tel Aviv, Hapoel Acre, Maccabi Netanya, FC Ashdod, M. Tel Aviv, Maccabi Haifa, Bnei Sakhnin, Ramat haSharon"
2011/12,13,26,8,"Kiryat Shmona, Hapoel Tel Aviv, FC Ashdod, Maccabi Haifa, Maccabi Netanya, Hapoel Acre, M. Tel Aviv, Ramat haSharon"
2011/12,14,29,4,"Kiryat Shmona, Hapoel Tel Aviv, FC Ashdod, Ramat haSharon"
2011/12,15,32,3,"Kiryat Shmona, FC Ashdod, Hapoel Tel Aviv"
2011/12,16,35,2,"Kiryat Shmona, FC Ashdod"
2011/12,17,38,2,"Kiryat Shmona, FC Ashdod"
2011/12,18,41,2,"Kiryat Shmona, FC Ashdod"
2011/12,19,42,2,"Kiryat Shmona, FC Ashdod"
2011/12,20,45,2,"Kiryat Shmona, FC Ashdod"
2011/12,21,48,1,Kiryat Shmona
2011/12,22,51,1,Kiryat Shmona
2011/12,23,52,1,Kiryat Shmona
2011/12,24,55,1,Kiryat Shmona
2011/12,25,56,1,Kiryat Shmona
2011/12,26,59,1,Kiryat Shmona
2011/12,27,62,1,Kiryat Shmona
2011/12,28,62,1,Kiryat Shmona
2011/12,29,65,1,Kiryat Shmona
2011/12,30,66,1,Kiryat Shmona
2012/13,1,3,14,"FC Ashdod, Kiryat Shmona, M. Tel Aviv, Hapoel Tel Aviv, Bnei Yehuda, Hapoel Acre, Bnei Sakhnin, H. Beer Sheva, Hapoel Haifa, Maccabi Netanya, B. Jerusalem, Maccabi Haifa, H. Ramat Gan, Ramat haSharon"
2012/13,2,6,14,"FC Ashdod, Kiryat Shmona, Hapoel Tel Aviv, M. Tel Aviv, Bnei Yehuda, Ramat haSharon, H. Beer Sheva, B. Jerusalem, Maccabi Netanya, Hapoel Acre, Bnei Sakhnin, Hapoel Haifa, H. Ramat Gan, Maccabi Haifa"
2012/13,3,9,9,"FC Ashdod, Hapoel Tel Aviv, M. Tel Aviv, Kiryat Shmona, Hapoel Acre, Ramat haSharon, Maccabi Netanya, Bnei Yehuda, H. Beer Sheva"
2012/13,4,12,8,"M. Tel Aviv, FC Ashdod, Hapoel Tel Aviv, Hapoel Acre, Bnei Yehuda, Ramat haSharon, Maccabi Netanya, Kiryat Shmona"
2012/13,5,15,3,"FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv"
2012/13,6,15,6,"FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv, Hapoel Acre, Ramat haSharon, Bnei Yehuda"
2012/13,7,18,3,"FC Ashdod, M. Tel Aviv, Hapoel Tel Aviv"
2012/13,8,21,3,"M. Tel Aviv, FC Ashdod, Hapoel Tel Aviv"
