season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2007/08,2007,M. Tel Aviv,Kiryat Shmona,2,2,0,D,1,1
2007/08,2007,H. Kfar Saba,Maccabi Haifa,0,3,-3,A,0,3
2007/08,2007,FC Ashdod,B. Jerusalem,1,2,-1,A,0,3
2007/08,2007,Hapoel Tel Aviv,Bnei Sakhnin,0,1,-1,A,0,3
2007/08,2007,Kiryat Shmona,Maccabi Haifa,1,1,0,D,1,1
2007/08,2007,Maccabi Herzlya,H. Kfar Saba,0,0,0,D,1,1
2007/08,2007,B. Jerusalem,M. Petah Tikva,2,1,1,H,3,0
2007/08,2007,Bnei Yehuda,FC Ashdod,3,2,1,H,3,0
2007/08,2007,Maccabi Netanya,M. Tel Aviv,1,0,1,H,3,0
2007/08,2007,FC Ashdod,Hapoel Tel Aviv,1,1,0,D,1,1
2007/08,2007,Bnei Sakhnin,Maccabi Herzlya,0,3,-3,A,0,3
2007/08,2007,H. Kfar Saba,Kiryat Shmona,2,3,-1,A,0,3
2007/08,2007,M. Petah Tikva,Bnei Yehuda,1,0,1,H,3,0
2007/08,2007,Maccabi Haifa,Maccabi Netanya,0,2,-2,A,0,3
2007/08,2007,M. Tel Aviv,B. Jerusalem,0,0,0,D,1,1
2007/08,2007,Bnei Yehuda,M. Tel Aviv,0,4,-4,A,0,3
2007/08,2007,Bnei Sakhnin,H. Kfar Saba,1,1,0,D,1,1
2007/08,2007,Maccabi Netanya,Kiryat Shmona,0,0,0,D,1,1
2007/08,2007,Maccabi Herzlya,FC Ashdod,1,1,0,D,1,1
2007/08,2007,Hapoel Tel Aviv,M. Petah Tikva,2,1,1,H,3,0
2007/08,2007,B. Jerusalem,Maccabi Haifa,1,0,1,H,3,0
2007/08,2007,H. Kfar Saba,Maccabi Netanya,1,2,-1,A,0,3
2007/08,2007,Maccabi Haifa,Bnei Yehuda,1,0,1,H,3,0
2007/08,2007,FC Ashdod,Bnei Sakhnin,3,1,2,H,3,0
2007/08,2007,M. Petah Tikva,Maccabi Herzlya,1,1,0,D,1,1
2007/08,2007,Kiryat Shmona,B. Jerusalem,0,3,-3,A,0,3
2007/08,2007,M. Tel Aviv,Hapoel Tel Aviv,1,3,-2,A,0,3
2007/08,2007,Bnei Yehuda,Kiryat Shmona,1,1,0,D,1,1
2007/08,2007,Bnei Sakhnin,M. Petah Tikva,1,0,1,H,3,0
2007/08,2007,Maccabi Herzlya,M. Tel Aviv,1,3,-2,A,0,3
2007/08,2007,FC Ashdod,H. Kfar Saba,2,4,-2,A,0,3
2007/08,2007,Hapoel Tel Aviv,Maccabi Haifa,2,0,2,H,3,0
2007/08,2007,B. Jerusalem,Maccabi Netanya,2,0,2,H,3,0
2007/08,2007,Kiryat Shmona,Hapoel Tel Aviv,2,1,1,H,3,0
2007/08,2007,Maccabi Haifa,Maccabi Herzlya,1,1,0,D,1,1
2007/08,2007,M. Petah Tikva,FC Ashdod,0,0,0,D,1,1
2007/08,2007,Maccabi Netanya,Bnei Yehuda,0,0,0,D,1,1
2007/08,2007,M. Tel Aviv,Bnei Sakhnin,0,0,0,D,1,1
2007/08,2007,H. Kfar Saba,B. Jerusalem,1,1,0,D,1,1
2007/08,2007,Kiryat Shmona,Bnei Yehuda,2,0,2,H,3,0
2007/08,2007,Bnei Sakhnin,Maccabi Netanya,1,1,0,D,1,1
2007/08,2007,H. Kfar Saba,Maccabi Herzlya,3,3,0,D,1,1
2007/08,2007,Maccabi Haifa,B. Jerusalem,0,1,-1,A,0,3
2007/08,2007,M. Petah Tikva,FC Ashdod,0,3,-3,A,0,3
2007/08,2007,M. Tel Aviv,Hapoel Tel Aviv,2,1,1,H,3,0
2007/08,2007,Kiryat Shmona,Bnei Sakhnin,0,1,-1,A,0,3
2007/08,2007,Bnei Yehuda,Hapoel Tel Aviv,2,3,-1,A,0,3
2007/08,2007,B. Jerusalem,M. Petah Tikva,4,0,4,H,3,0
2007/08,2007,FC Ashdod,H. Kfar Saba,3,1,2,H,3,0
2007/08,2007,Maccabi Herzlya,M. Tel Aviv,1,0,1,H,3,0
2007/08,2007,Maccabi Netanya,Maccabi Haifa,0,2,-2,A,0,3
2007/08,2007,Bnei Sakhnin,Bnei Yehuda,1,3,-2,A,0,3
2007/08,2007,Maccabi Haifa,Kiryat Shmona,2,1,1,H,3,0
2007/08,2007,Hapoel Tel Aviv,Maccabi Herzlya,2,1,1,H,3,0
2007/08,2007,H. Kfar Saba,B. Jerusalem,0,4,-4,A,0,3
2007/08,2007,M. Petah Tikva,Maccabi Netanya,0,1,-1,A,0,3
2007/08,2007,M. Tel Aviv,FC Ashdod,2,0,2,H,3,0
