round,home,score,away,season,season_year
190,Maccabi Haifa,3:0,Maccabi Herzlya,2007/08,2007
191,M. Petah Tikva,1:2,Hapoel Tel Aviv,2007/08,2007
192,Maccabi Netanya,3:2,Bnei Yehuda,2007/08,2007
193,B. Jerusalem,1:2,Bnei Sakhnin,2007/08,2007
194,Bnei Yehuda,1:0,M. Tel Aviv,2007/08,2007
195,Hapoel Tel Aviv,0:1,H. Kfar Saba,2007/08,2007
196,Maccabi Herzlya,0:1,M. Petah Tikva,2007/08,2007
197,FC Ashdod,2:0,Maccabi Haifa,2007/08,2007
198,Maccabi Netanya,1:2,Kiryat Shmona,2007/08,2007
1,M. Tel Aviv,2:1,Bnei Yehuda,2008/09,2008
2,Maccabi Haifa,3:1,FC Ashdod,2008/09,2008
3,M. Petah Tikva,1:1,Maccabi Netanya,2008/09,2008
4,Bnei Sakhnin,0:0,B. Jerusalem,2008/09,2008
5,Kiryat Shmona,0:0,H. Petah Tikva,2008/09,2008
6,Hakoah Amidar,2:2,Hapoel Tel Aviv,2008/09,2008
7,Bnei Yehuda,2:2,Hakoah Amidar,2008/09,2008
8,Maccabi Netanya,3:1,H. Petah Tikva,2008/09,2008
9,FC Ashdod,2:0,Kiryat Shmona,2008/09,2008
10,M. Petah Tikva,1:0,Bnei Sakhnin,2008/09,2008
